id_cliente,data_resposta,nota,comentario
63,2025-02-11,7,In veritatis illum nobis commodi incidunt tempora.
63,2024-09-06,6,Cum non magni quae quos distinctio.
64,2024-06-11,0,Placeat quidem nostrum inventore animi.
65,2025-01-27,8,Ad nisi aut totam voluptatibus aperiam dolorem laudantium aliquid illo at.
66,2024-07-23,3,Hic dicta occaecati aperiam natus labore porro repellendus harum eligendi.
66,2024-10-24,9,Vero rem id sit voluptate fuga possimus illo quam suscipit.
67,2025-02-19,3,Dolores itaque deserunt nihil magnam dolorem sit sed dolore perspiciatis.
68,2024-09-19,8,Sint error iste minus error totam odio.
68,2025-04-26,6,Dignissimos dignissimos dolor quis beatae eveniet placeat consectetur ut.
69,2024-11-16,2,Libero facilis ut eos quos excepturi pariatur.
69,2024-08-04,7,Deserunt explicabo adipisci quia odit necessitatibus.
69,2024-07-21,5,Magni ipsum a impedit sequi harum dolorem fuga est.
70,2025-02-06,10,Rem nam pariatur ipsum aspernatur itaque eos perferendis ipsum incidunt.
70,2024-09-08,6,Consequuntur sed ipsum inventore repellendus ut voluptatibus recusandae voluptate.
70,2025-03-04,5,Maiores ipsam velit sunt ad quas incidunt vero.
71,2025-04-19,7,Sequi voluptas doloribus repellendus officiis dolore pariatur quisquam aspernatur.
71,2024-07-27,3,Cum magni aliquam soluta quas eligendi ipsam vitae.
71,2024-08-22,10,Harum eligendi modi consequatur ipsam incidunt quidem voluptatum voluptatem.
72,2025-01-09,10,Nisi praesentium quasi modi ab nobis.
73,2024-08-06,7,Nesciunt temporibus est libero modi pariatur ipsum.
73,2025-02-07,2,Ratione sed officia adipisci odit odio corrupti.
74,2024-12-14,1,Cum corrupti veritatis itaque provident non.
74,2025-03-07,1,Excepturi suscipit voluptatem delectus aliquid libero cum consectetur excepturi repellendus mollitia.
74,2025-01-19,6,Hic voluptate eius possimus voluptates.
75,2024-06-04,6,Iure nulla quas placeat ex veritatis voluptatem laborum rem esse.
76,2025-04-20,2,Voluptatum a exercitationem facilis officiis quisquam voluptatibus.
77,2025-02-17,10,Quia est molestias beatae rerum ipsum.
77,2024-07-09,7,Magni ducimus veritatis adipisci doloribus vero.
77,2025-03-31,8,Exercitationem sed soluta illum quaerat delectus fuga.
78,2024-06-02,9,Cupiditate odio harum voluptate asperiores magnam deserunt odit.
79,2024-06-04,5,Dolore dolorem fugiat esse excepturi.
79,2024-05-13,9,Repellendus nobis repudiandae eum dignissimos officiis dolores perspiciatis accusantium.
80,2024-10-18,10,Illum quam eaque repudiandae sunt qui.
80,2024-09-22,2,Quas dolorum doloribus hic pariatur odit numquam.
81,2024-07-27,3,Quis nobis architecto voluptatum quisquam incidunt.
81,2024-10-28,9,Voluptas laborum quos sed earum tempore corporis dignissimos perspiciatis facilis.
81,2024-12-13,8,Mollitia temporibus nemo occaecati a rem.
82,2024-10-26,10,Assumenda magni cum fuga consectetur deserunt.
83,2025-04-21,3,Incidunt vel ipsum laboriosam quo rem perspiciatis iusto architecto.
84,2024-09-04,10,Blanditiis recusandae praesentium tempora incidunt deleniti expedita a hic maiores.
84,2024-09-22,5,Iure ex neque doloremque accusantium pariatur.
85,2024-11-23,8,Occaecati facilis saepe provident cupiditate error delectus laboriosam commodi numquam.
85,2024-08-29,7,Deserunt corporis officiis est animi consequatur reprehenderit.
86,2024-07-21,3,Sed rerum dignissimos id soluta quae necessitatibus.
86,2025-01-12,8,Ipsam iure commodi unde quibusdam.
87,2025-02-23,8,Nam ratione porro porro nisi nemo voluptatum odio et.
87,2024-11-04,3,Esse nostrum autem exercitationem reprehenderit autem.
88,2024-12-24,4,Recusandae dicta quae harum ipsa esse.
88,2025-02-13,5,Nulla vel provident cupiditate esse veritatis.
89,2025-04-10,6,Itaque laborum tempore sit ex.
89,2024-09-09,8,Reprehenderit officia doloribus consequuntur dolore rerum id sunt.
90,2025-05-03,10,Fugit id dolorum eligendi architecto itaque id et saepe fugit.
90,2025-04-19,3,Rem sapiente quae placeat nostrum voluptatem consectetur quaerat.
90,2025-02-07,4,Labore deleniti expedita pariatur cumque quos voluptatum repellat.
91,2024-08-22,2,Eveniet repellendus dolores architecto itaque minus nostrum numquam.
91,2024-08-17,4,Illum laudantium ipsa dolorem optio.
92,2024-07-18,2,Perferendis officia nobis unde perferendis nemo.
93,2024-09-14,2,Quam delectus at doloribus autem in.
93,2024-10-07,0,Doloremque mollitia quidem esse tempore omnis officiis voluptas.
93,2025-04-04,1,Adipisci repudiandae illum animi optio labore.
94,2024-10-31,5,Ad reprehenderit illo itaque.
95,2024-08-29,8,Asperiores repellendus debitis doloremque voluptatibus.
96,2025-03-19,0,Praesentium consequatur doloremque sed id saepe sit consequuntur commodi dolorum.
96,2024-06-14,3,Doloribus magni laborum ipsa sapiente excepturi modi dolore consequatur ut.
96,2024-09-03,2,Soluta temporibus nulla suscipit ullam accusantium.
97,2024-05-16,4,Aspernatur saepe corporis aliquam ratione animi.
97,2024-06-23,6,Consequatur asperiores fugit earum veniam nemo voluptatum.
98,2024-10-05,3,Magni numquam recusandae minima laboriosam.
99,2025-01-28,10,Laboriosam consectetur asperiores quae veritatis unde iusto.
100,2025-02-14,5,Voluptates voluptatem illum ad quod.
100,2024-11-12,6,Sint facilis molestias veritatis.
101,2024-11-02,2,Ipsum eos officia eaque ea repudiandae aperiam.
102,2024-11-08,7,Atque animi modi consequatur harum nesciunt aliquam cum quam cupiditate.
102,2025-02-03,4,Eligendi voluptatum sit laudantium ex repellendus expedita ut cumque.
102,2024-06-15,2,Tempora eaque dolorem maxime inventore harum ex labore inventore.
103,2024-11-05,0,Minima illo temporibus nemo possimus accusamus ab maxime ipsum.
103,2024-09-06,6,Quo quos commodi occaecati ducimus fuga cum sint eligendi.
104,2024-05-27,6,Repudiandae ex est cum eum ducimus deleniti non nulla.
104,2025-03-25,7,Magni et reiciendis ullam nemo iste culpa.
105,2024-07-23,8,Ipsa quis aperiam beatae nemo quaerat.
105,2024-10-02,0,Tenetur at repudiandae dolores pariatur impedit aspernatur.
106,2024-12-10,6,Nam tenetur at eius magni fuga vitae et quas accusamus cupiditate.
106,2024-07-17,6,Perspiciatis accusamus debitis omnis eius et quisquam.
106,2025-02-02,0,Illum doloribus vero commodi rem.
107,2024-08-04,3,Et perspiciatis consequatur ipsa adipisci earum ad facilis saepe eveniet.
107,2024-07-28,2,Atque perspiciatis soluta officia sit maxime libero tempora consectetur occaecati.
108,2025-01-08,1,Alias adipisci asperiores facilis reiciendis suscipit.
109,2024-10-12,9,Earum ut nesciunt praesentium error eius perferendis.
109,2024-07-22,1,Est ipsam ipsa officia dignissimos natus consequatur tenetur.
109,2024-09-07,0,Ut ea rerum id tempora illum quam laboriosam.
110,2024-09-02,1,Mollitia explicabo cum facilis eveniet laboriosam molestias facilis delectus placeat.
111,2024-07-07,10,Odio quam in ut earum tempora recusandae.
111,2024-11-01,0,Facilis consequatur explicabo voluptas consequuntur quo id adipisci.
111,2024-10-27,8,Consequatur natus sit quod quaerat eveniet fugiat nam autem nam.
112,2024-08-15,9,Pariatur repellat assumenda quisquam sit fugiat.
112,2024-06-26,0,Cum dignissimos iste nemo quae aperiam soluta vel repellendus.
112,2024-07-13,9,Quasi doloribus molestiae eveniet nemo tempore repellendus labore repellat.
113,2025-02-28,9,Maiores laborum recusandae doloremque rem alias distinctio impedit architecto aliquam.
114,2025-04-22,8,Corrupti saepe earum expedita odio dolorum accusantium a veritatis corrupti.
114,2024-10-17,9,Animi alias aliquam hic eum non.
114,2024-05-25,1,Dolorum aliquid quos reprehenderit voluptas repudiandae quae.
115,2024-07-01,4,Totam eveniet optio possimus neque ratione aspernatur.
115,2024-07-12,3,Accusamus impedit quod ex quae iure nostrum dignissimos eius.
115,2024-08-15,1,Facilis eum velit vel quas.
116,2024-11-19,4,Iusto fuga explicabo corporis atque molestiae est.
116,2024-05-14,8,At occaecati fugiat suscipit dolores quia molestias harum.
117,2025-04-24,8,Provident nulla voluptates quam animi earum architecto nobis adipisci magni.
117,2024-08-23,7,Consequatur porro minus aliquam reiciendis cum consequuntur minima.
117,2024-09-10,3,Laudantium unde praesentium et veniam exercitationem doloremque fugiat architecto totam.
118,2024-09-18,4,Reprehenderit illo libero alias iste laudantium quibusdam repellendus delectus repudiandae.
118,2024-08-08,10,Veritatis culpa perspiciatis dolore incidunt architecto.
119,2024-10-01,8,Non nobis debitis adipisci minus harum dolore eos quaerat vitae.
120,2024-06-25,5,Totam autem fuga soluta nam sit.
121,2024-10-22,4,Sit corrupti quas sunt.
121,2024-11-15,7,Enim dicta aut blanditiis veritatis exercitationem quasi aspernatur ipsum minima.
121,2025-05-11,4,Consequatur cumque eveniet numquam labore commodi eos blanditiis ut.
122,2025-03-29,2,Quis nobis quos animi corrupti laboriosam quos et delectus.
122,2025-03-23,3,Porro esse molestias ipsum vitae molestiae consequuntur veritatis.
122,2025-02-18,5,Maxime animi optio perferendis occaecati vitae error odio temporibus.
123,2024-09-06,7,Inventore fugit molestias excepturi ratione eveniet reprehenderit commodi dicta.
123,2024-12-24,3,Totam consequatur nisi facere repellendus alias ab atque aspernatur commodi.
124,2024-08-04,2,Adipisci at necessitatibus cumque ducimus repudiandae ipsum libero ipsam.
125,2024-10-04,10,Quas expedita quas mollitia.
125,2024-06-10,9,Dolor illo sunt dignissimos quaerat.
126,2025-02-16,6,Dolorum sit dicta modi nemo occaecati.
126,2025-02-17,1,Excepturi amet maxime illum deserunt repudiandae nam quidem.
127,2025-04-05,4,Deserunt quae voluptatibus veniam doloribus fugiat similique quia ea.
128,2024-11-11,5,Reprehenderit expedita recusandae consectetur autem voluptatibus.
129,2024-09-06,7,Aliquam hic illo quos fuga ratione ea.
130,2025-02-07,1,Eum quisquam praesentium repellat quae corrupti accusamus qui ullam amet.
130,2025-05-09,0,Esse odit ad illo laudantium tempore assumenda voluptates.
131,2024-09-02,2,Animi fugiat minus illo esse reprehenderit exercitationem placeat esse.
132,2024-06-21,8,Pariatur temporibus sunt tempore dolorum similique possimus nisi voluptatibus.
133,2025-01-03,0,Architecto dignissimos numquam repellat dolorum id.
134,2024-07-03,0,Itaque modi rerum iusto exercitationem suscipit voluptates itaque.
134,2024-07-01,2,Minus deserunt magnam maxime eos et deleniti animi.
135,2024-10-24,2,Excepturi quos corporis modi sunt voluptatem minima numquam voluptate.
135,2024-05-14,2,Expedita iure ex vel.
136,2024-12-16,3,Beatae laborum animi eligendi vel voluptatum omnis velit ipsa pariatur.
136,2024-10-29,9,Voluptatibus maxime odio culpa.
137,2025-01-01,8,Ipsum laborum dolorem consequatur cupiditate qui.
137,2024-08-07,1,Incidunt quae architecto vel quasi doloribus incidunt minus laborum quaerat.
137,2025-01-11,10,Dicta cumque enim odio iusto perspiciatis.
138,2025-02-23,6,Minima itaque dicta voluptas quod cupiditate.
138,2024-07-27,8,In non consectetur et.
138,2025-04-07,9,Ullam sapiente cupiditate aspernatur corrupti.
139,2024-10-22,0,Hic saepe unde sapiente saepe minus beatae quisquam.
139,2024-05-30,9,Totam dolore incidunt minus magnam labore.
140,2025-02-15,1,Non facilis in reiciendis eum dolorem nulla.
140,2024-09-20,8,Quam ipsum ea deserunt voluptatibus rem quae adipisci reprehenderit.
141,2025-04-23,7,Dolore perferendis totam sit officia sunt eius accusamus.
141,2024-07-22,7,Incidunt expedita optio amet voluptatum architecto id molestiae.
141,2024-12-09,10,Ad enim repudiandae dicta eaque labore.
142,2024-09-25,7,Sit perspiciatis quo sapiente laborum maxime.
142,2025-02-14,9,Atque pariatur reiciendis optio harum iste doloremque ipsa vitae temporibus.
143,2025-01-06,7,Excepturi omnis cupiditate similique quis officiis optio quisquam.
143,2024-09-06,2,Vitae error illum quo magni sequi voluptatibus.
143,2025-05-05,4,Soluta facilis expedita vitae esse temporibus dolores.
144,2025-03-20,5,Quasi odit accusamus id.
144,2024-10-13,2,Ipsum soluta esse mollitia.
144,2024-11-08,1,Nesciunt alias ipsam possimus cupiditate perferendis ex.
145,2025-03-10,7,Nobis esse laboriosam vel quaerat non deleniti.
146,2025-01-27,1,Odit repellendus nihil totam dolore eum.
146,2025-01-22,6,Amet distinctio dolores inventore eius eaque deleniti neque.
147,2024-06-14,6,Magnam dolor harum eos beatae distinctio.
147,2024-10-12,6,Reiciendis quia minus consectetur pariatur reprehenderit vel labore corporis ratione.
147,2024-05-31,8,Voluptatum ex cumque laudantium deserunt ipsam est eveniet.
148,2024-08-17,6,Deleniti similique possimus blanditiis quo repellat.
149,2025-02-20,1,Error quae deleniti voluptatem quibusdam.
149,2024-09-22,7,Doloribus atque aliquid molestias dignissimos.
149,2025-02-15,7,Temporibus quibusdam labore asperiores.
150,2025-04-11,2,Repellendus ipsam provident maxime totam dolorum.
151,2024-09-23,3,Deserunt officia corrupti expedita recusandae.
151,2025-01-11,3,Qui totam excepturi illo perspiciatis atque nostrum nostrum ad ratione.
152,2024-12-23,4,Veritatis reiciendis eveniet deleniti optio necessitatibus voluptatem.
153,2024-09-03,10,Quisquam rem nostrum nihil quos beatae omnis magnam quidem aperiam hic.
154,2024-10-27,1,Totam accusantium minima earum odio perferendis distinctio.
155,2024-09-05,4,Soluta tempora sunt perferendis quo iure nihil.
155,2025-02-07,9,Facere recusandae quod delectus rerum ad aliquam nam cumque.
155,2025-02-03,5,Dolorem enim provident recusandae reprehenderit dignissimos nobis ullam deserunt.
156,2025-04-18,8,Odit error dolor repudiandae animi deserunt ipsam.
156,2024-07-30,7,Voluptatum culpa dolore totam voluptatum dolorum nobis porro.
156,2025-03-01,9,Culpa doloremque blanditiis laborum quisquam voluptatem nemo earum nisi officiis.
157,2024-10-25,6,Vel enim amet ipsa inventore assumenda ducimus ut similique suscipit.
157,2025-01-24,10,Magni assumenda delectus rerum repellendus ad rerum repudiandae.
157,2025-03-22,10,Impedit omnis soluta esse id dignissimos iste vero ex accusamus.
158,2024-12-23,4,Nostrum cum ex debitis excepturi cumque iste velit doloribus reiciendis.
158,2024-08-17,5,Modi maiores recusandae modi aperiam aspernatur aut nostrum est.
158,2024-10-16,10,Quos qui aliquid enim eveniet eveniet cumque cupiditate blanditiis quis.
159,2024-08-01,9,Consequatur molestias accusamus consectetur iure doloremque non totam.
159,2025-03-02,7,Nihil nihil veritatis dolor quas odit.
160,2025-02-15,9,Voluptas error quas porro fugit impedit eum eos.
161,2024-05-22,6,Iusto adipisci hic doloremque repudiandae libero adipisci amet.
161,2025-04-02,4,Porro exercitationem delectus sit voluptas quae alias harum.
162,2024-11-16,6,Perspiciatis corrupti ex perferendis nesciunt cupiditate recusandae sunt repudiandae incidunt.
163,2024-10-30,2,Dolores sequi quaerat placeat tempore.
163,2024-11-16,8,Magnam quasi mollitia voluptatem aliquid dolor excepturi tempore voluptates sequi.
163,2025-05-08,8,Tempore esse veritatis quae fugiat consectetur non eaque fugit.
164,2024-08-05,7,Quas optio hic suscipit omnis minus dolores.
165,2024-10-29,10,Voluptates quisquam qui provident laborum.
165,2024-12-29,2,Culpa necessitatibus eveniet culpa.
166,2024-05-25,5,Provident molestiae numquam odit totam molestias.
167,2025-04-29,9,Doloribus laborum vero ad itaque laborum alias voluptates numquam.
167,2025-03-28,4,Quasi delectus ducimus consequatur ad illum natus.
168,2025-01-15,10,Ut exercitationem est ullam quibusdam nobis aut atque veritatis.
168,2024-05-26,7,Vel sed molestiae in ea suscipit debitis nobis totam.
169,2025-04-26,0,Fugit mollitia adipisci nobis officiis natus sit.
169,2024-09-14,1,Eius saepe ducimus nam ipsa voluptatem dicta.
170,2025-01-07,1,Possimus harum reprehenderit neque enim.
170,2024-09-07,6,Porro eum maxime doloremque aspernatur vero non.
170,2024-07-22,4,Excepturi inventore vero libero animi inventore numquam.
171,2025-01-24,5,Blanditiis voluptas vero pariatur officia nobis vel accusamus temporibus est.
172,2024-09-05,1,Expedita placeat omnis cumque vitae quam ut maxime veniam minima.
173,2025-02-28,5,Mollitia illo perspiciatis numquam facere facilis vitae accusantium laboriosam.
173,2024-11-17,1,Beatae vero in a porro hic maxime iure.
174,2024-11-17,6,Dolor magni eum natus occaecati animi suscipit et velit.
175,2024-08-09,4,Similique earum asperiores labore est natus sapiente cupiditate reprehenderit vero.
175,2025-03-03,8,Reprehenderit quasi incidunt unde libero qui sed enim.
176,2025-04-02,8,Cupiditate pariatur tenetur sit asperiores deleniti minima.
176,2025-01-27,5,Est repudiandae consequuntur ipsam illum fugit ullam nobis quam.
177,2024-05-24,6,Aut assumenda at dolorum voluptates eaque aperiam delectus dolorum soluta.
177,2025-04-10,3,Sunt ab optio minima earum ut laudantium facilis dignissimos.
177,2025-02-15,4,Neque officiis laudantium velit.
178,2025-01-03,6,Aliquid dicta quia esse ab nulla commodi eos repudiandae.
178,2024-10-07,2,Officiis amet pariatur explicabo enim id accusamus.
178,2024-10-26,0,Ab excepturi vel eveniet expedita consectetur maxime.
179,2025-03-06,3,Mollitia temporibus sunt blanditiis facere eos.
179,2025-01-04,0,Velit ex autem commodi odit.
180,2024-05-25,4,Atque minus accusantium deserunt possimus delectus rem fugit sint omnis.
180,2024-10-18,10,Tenetur nobis rem accusamus veniam eos necessitatibus.
180,2024-06-17,6,Officiis alias debitis iusto fugiat sequi quasi quae sapiente.
181,2025-03-01,3,Veniam amet quos rerum cum consectetur.
181,2024-11-15,9,Laudantium nam voluptate vel sit.
181,2024-07-26,6,Rem atque ducimus hic minus quod temporibus animi ipsa.
182,2025-04-04,9,Iste est nam fugit atque neque molestias excepturi.
182,2025-04-26,1,Cum eos nihil unde accusamus unde.
182,2025-02-15,9,Nisi fugiat repellat reprehenderit libero eligendi provident.
183,2025-02-24,4,Ipsum explicabo delectus repellendus ipsam.
183,2024-06-16,6,Placeat officiis odit numquam officia.
184,2024-06-12,4,Vero non inventore impedit recusandae quas non.
185,2025-01-01,9,Amet fugiat numquam provident beatae quaerat.
186,2024-10-02,10,Similique rem saepe ratione est eos nulla debitis iusto.
186,2024-10-05,8,Illum quibusdam recusandae praesentium optio fugit iste aspernatur.
187,2025-04-09,8,Similique in ipsum recusandae minima fugiat ipsum sequi repellat.
188,2024-12-23,6,Sint consequatur aspernatur tenetur atque deleniti alias placeat explicabo cum.
188,2024-10-21,6,Consectetur suscipit laudantium illum laudantium numquam.
188,2025-01-20,5,Eaque sapiente accusantium accusantium ad laboriosam quasi illo incidunt accusantium.
189,2025-03-13,4,Vitae nesciunt id at iure quod ratione.
190,2025-02-22,6,Labore illo ipsum necessitatibus quaerat vero magni natus esse.
191,2025-01-29,6,Ab possimus enim quia quasi.
192,2024-09-24,0,Reprehenderit nihil blanditiis pariatur minus debitis fugiat ab ducimus maxime.
193,2025-05-12,0,Ab illum nemo quo perferendis.
193,2025-03-06,6,Earum quis voluptate tenetur quia.
