id,id_cliente,data_pedido,valor,canal_venda
90,27,2025-04-06,482.37,WhatsApp
91,107,2024-12-30,924.08,Marketplace
92,177,2024-12-04,1210.69,Loja Virtual
93,17,2024-12-17,152.21,Marketplace
94,65,2024-12-22,256.01,Loja Virtual
95,169,2024-05-17,563.44,Marketplace
96,79,2024-07-18,388.43,Marketplace
97,39,2024-09-07,162.44,WhatsApp
98,102,2024-06-22,650.62,Loja Virtual
99,93,2024-08-16,889.73,Marketplace
100,91,2024-11-01,153.95,Loja Virtual
101,35,2024-10-04,151.95,WhatsApp
102,158,2025-03-14,882.25,Marketplace
103,149,2024-10-15,700.87,WhatsApp
104,17,2024-12-10,418.31,Loja Virtual
105,38,2024-08-26,204.57,WhatsApp
106,29,2024-08-15,734.54,Loja Virtual
107,178,2024-10-20,686.92,WhatsApp
108,199,2025-01-11,1284.16,WhatsApp
109,86,2024-10-04,540.05,WhatsApp
110,117,2024-07-14,435.0,Marketplace
111,183,2024-09-27,1008.65,WhatsApp
112,86,2024-07-03,531.91,Marketplace
113,78,2025-02-15,414.22,Marketplace
114,12,2025-04-18,1090.83,Loja Virtual
115,75,2024-08-23,650.05,Loja Virtual
116,165,2024-06-18,687.94,Loja Virtual
117,23,2025-03-22,160.27,Loja Virtual
118,112,2025-04-27,508.97,Marketplace
119,15,2025-04-02,465.48,Loja Virtual
120,55,2024-12-24,580.08,WhatsApp
121,86,2025-02-13,1079.34,WhatsApp
122,26,2024-11-20,923.43,Loja Virtual
123,179,2024-07-18,955.63,Loja Virtual
124,3,2025-04-08,1012.25,Loja Virtual
125,181,2025-04-25,1187.77,Marketplace
126,77,2024-11-26,1274.14,WhatsApp
127,92,2025-05-13,1018.89,WhatsApp
128,156,2024-08-04,1257.87,Marketplace
129,145,2024-12-03,529.33,Loja Virtual
130,15,2024-07-16,978.46,Marketplace
131,161,2024-06-04,363.88,Loja Virtual
132,142,2024-11-02,81.14,Marketplace
133,66,2024-12-08,1490.2,Marketplace
134,74,2024-07-03,1085.29,WhatsApp
135,190,2024-08-21,306.34,Loja Virtual
136,183,2024-08-10,1481.53,Marketplace
137,168,2024-10-25,752.78,WhatsApp
138,182,2025-04-18,153.26,Marketplace
139,52,2025-02-19,1459.21,Marketplace
140,186,2024-05-30,466.06,Loja Virtual
141,178,2024-07-14,549.28,WhatsApp
142,46,2025-03-14,1437.84,WhatsApp
143,84,2025-04-11,510.53,Loja Virtual
144,131,2024-08-09,566.46,Marketplace
145,38,2025-04-14,1165.27,Marketplace
146,159,2024-08-29,406.82,Marketplace
147,4,2025-01-02,1123.93,Marketplace
148,99,2024-07-10,798.83,Loja Virtual
149,196,2025-04-30,1073.23,WhatsApp
150,65,2024-12-28,476.55,Marketplace
151,145,2025-01-04,817.02,WhatsApp
152,130,2025-01-08,625.58,Loja Virtual
153,134,2025-05-02,1473.46,WhatsApp
154,33,2025-03-25,1345.2,Marketplace
155,151,2024-06-04,991.0,Loja Virtual
156,64,2024-08-02,1473.08,Marketplace
157,38,2024-08-07,611.62,Marketplace
158,99,2024-08-03,812.34,WhatsApp
159,56,2024-07-03,1344.41,Marketplace
160,150,2025-01-21,56.55,WhatsApp
161,112,2025-03-14,1328.03,WhatsApp
162,89,2024-10-05,1244.78,WhatsApp
163,16,2025-01-07,833.93,Marketplace
164,80,2025-03-04,1272.68,Marketplace
165,32,2024-10-31,714.61,Loja Virtual
166,156,2025-02-03,391.58,WhatsApp
167,118,2024-11-13,734.85,Marketplace
168,145,2024-08-12,524.79,Loja Virtual
169,101,2024-09-15,1219.23,Marketplace
170,139,2024-06-04,1195.19,Marketplace
171,103,2025-03-26,1373.41,WhatsApp
172,35,2024-07-02,980.31,WhatsApp
173,100,2024-12-08,1329.96,WhatsApp
174,174,2024-08-22,691.45,WhatsApp
175,78,2024-07-31,1415.44,WhatsApp
176,184,2025-04-13,462.13,Marketplace
177,47,2024-12-06,650.57,Marketplace
178,26,2025-01-25,656.18,Marketplace
179,33,2024-08-24,831.21,Marketplace
180,110,2025-01-23,389.34,Marketplace
181,155,2024-11-27,875.85,WhatsApp
182,181,2024-12-19,65.37,WhatsApp
183,147,2025-01-15,173.86,Loja Virtual
184,101,2024-05-14,59.36,Loja Virtual
185,134,2025-03-29,1141.84,Loja Virtual
186,24,2024-06-07,554.81,Marketplace
187,2,2025-04-05,525.15,WhatsApp
188,151,2025-03-23,1239.53,Loja Virtual
189,186,2024-10-31,1285.32,Loja Virtual
190,177,2025-02-23,1235.84,WhatsApp
191,135,2025-04-30,941.74,Loja Virtual
192,55,2024-07-13,1060.5,Marketplace
193,77,2024-11-20,556.53,Loja Virtual
194,79,2025-04-02,1451.65,Marketplace
195,108,2024-12-26,622.48,Loja Virtual
196,68,2024-09-12,568.54,Loja Virtual
197,134,2025-02-06,51.08,Loja Virtual
198,133,2025-04-27,680.32,Marketplace
199,67,2025-02-17,636.03,WhatsApp
200,187,2024-11-22,1291.43,Loja Virtual
201,124,2025-04-25,1057.22,WhatsApp
202,27,2024-11-13,336.73,Marketplace
203,60,2024-11-28,1391.82,Marketplace
204,40,2024-11-10,285.0,Marketplace
205,187,2024-06-03,1131.2,Loja Virtual
206,33,2024-09-13,292.86,Loja Virtual
207,74,2024-07-14,652.91,WhatsApp
208,182,2025-04-02,150.89,Marketplace
209,37,2024-10-05,664.85,Marketplace
210,173,2025-04-11,1168.46,WhatsApp
211,187,2025-02-18,1481.51,WhatsApp
212,122,2024-12-10,474.31,Marketplace
213,115,2025-04-07,146.35,Loja Virtual
214,41,2025-02-24,1060.3,Marketplace
215,28,2024-10-23,808.33,WhatsApp
216,189,2024-06-15,284.19,WhatsApp
217,95,2025-02-18,985.59,WhatsApp
218,95,2024-07-17,285.08,Loja Virtual
219,90,2024-09-29,719.35,Loja Virtual
220,150,2024-10-30,1480.79,Marketplace
221,156,2024-11-14,504.54,Loja Virtual
222,134,2024-07-19,946.61,WhatsApp
223,101,2025-03-29,574.47,WhatsApp
224,157,2024-09-19,1419.17,Marketplace
225,155,2025-05-05,432.51,Loja Virtual
226,13,2024-06-06,1171.85,WhatsApp
227,47,2024-08-17,1223.8,Loja Virtual
228,151,2024-09-14,996.36,WhatsApp
229,5,2024-09-29,754.7,Loja Virtual
230,120,2025-03-20,1094.64,Marketplace
231,131,2024-10-03,681.33,WhatsApp
232,186,2024-07-12,608.73,WhatsApp
233,187,2025-04-23,1336.3,Marketplace
234,190,2024-06-17,160.52,WhatsApp
235,190,2025-01-11,175.72,Marketplace
236,163,2025-03-26,1449.76,Loja Virtual
237,63,2024-05-15,491.84,WhatsApp
238,144,2024-10-27,1005.85,Marketplace
239,153,2024-11-06,1246.86,Marketplace
240,180,2025-02-24,552.18,Loja Virtual
241,111,2024-09-04,1159.64,Loja Virtual
242,12,2024-08-16,1414.97,Loja Virtual
243,172,2024-06-20,749.8,Loja Virtual
244,45,2024-08-30,1059.55,Marketplace
245,165,2024-08-30,1454.73,WhatsApp
246,43,2025-03-31,655.12,Loja Virtual
247,144,2024-09-03,1133.31,Marketplace
248,190,2024-10-12,468.04,Loja Virtual
249,124,2025-04-01,1211.11,Loja Virtual
250,2,2024-06-18,1325.69,WhatsApp
251,16,2025-01-11,1344.44,Loja Virtual
252,58,2024-07-28,549.52,Marketplace
253,90,2025-03-28,170.0,Loja Virtual
254,134,2024-09-05,624.93,WhatsApp
255,148,2024-08-24,1146.82,Loja Virtual
256,26,2025-01-21,1306.08,Loja Virtual
257,11,2025-03-07,324.36,Marketplace
258,97,2024-07-09,327.6,Marketplace
259,90,2025-01-01,520.61,WhatsApp
260,36,2025-01-04,792.34,Loja Virtual
261,114,2024-09-08,582.9,Loja Virtual
262,142,2025-02-05,599.76,WhatsApp
263,170,2024-07-26,209.66,WhatsApp
264,199,2025-01-22,1478.69,Marketplace
265,105,2024-09-15,1206.18,WhatsApp
266,55,2024-10-05,1461.22,WhatsApp
267,163,2024-11-25,1220.96,Loja Virtual
268,93,2024-06-08,508.07,Loja Virtual
269,63,2024-11-15,736.22,Marketplace
270,150,2024-08-01,1154.39,WhatsApp
271,10,2025-04-09,180.45,WhatsApp
272,192,2024-08-01,1105.71,WhatsApp
273,125,2025-01-26,1426.48,Marketplace
274,131,2025-02-25,602.41,Loja Virtual
275,123,2024-06-25,525.59,WhatsApp
276,163,2025-03-06,1237.84,Loja Virtual
277,62,2025-01-21,380.68,WhatsApp
278,184,2025-01-26,622.27,Marketplace
279,117,2024-12-10,204.26,Marketplace
280,89,2024-07-21,1468.28,WhatsApp
281,113,2024-05-26,1264.07,WhatsApp
282,12,2024-08-22,1440.87,Marketplace
283,47,2025-05-02,400.37,Loja Virtual
284,133,2024-09-02,1467.28,Loja Virtual
285,12,2025-03-30,1293.29,WhatsApp
286,103,2025-01-01,225.73,WhatsApp
287,42,2025-03-17,463.1,Loja Virtual
288,53,2025-02-11,726.11,Loja Virtual
289,14,2024-10-30,603.22,WhatsApp
290,195,2024-08-12,1083.7,WhatsApp
291,182,2024-08-13,758.72,Marketplace
292,75,2024-09-09,1147.91,WhatsApp
293,75,2024-11-21,97.52,Marketplace
294,45,2024-06-26,1485.46,Loja Virtual
295,175,2025-01-10,1120.88,Marketplace
296,127,2024-07-11,1282.72,WhatsApp
297,140,2024-12-21,185.08,Marketplace
298,54,2025-04-24,58.43,Loja Virtual
299,138,2024-07-19,985.71,WhatsApp
300,119,2024-07-22,691.27,WhatsApp
301,100,2025-02-13,1279.14,Loja Virtual
302,158,2024-11-07,1282.74,Marketplace
303,71,2025-03-29,218.78,WhatsApp
304,35,2025-01-08,1157.69,Marketplace
305,146,2024-06-02,500.03,Marketplace
306,3,2024-09-23,706.77,Marketplace
307,81,2025-03-31,1209.27,WhatsApp
308,99,2024-11-21,732.74,Marketplace
309,17,2024-11-17,364.74,WhatsApp
310,168,2024-11-11,779.11,Loja Virtual
311,96,2024-10-12,1242.39,WhatsApp
312,53,2024-12-31,1417.7,Loja Virtual
313,162,2024-07-13,1054.44,Marketplace
314,129,2024-12-05,1383.22,Loja Virtual
315,72,2025-04-28,902.41,Loja Virtual
316,139,2024-06-10,565.39,WhatsApp
317,84,2024-10-27,322.33,Loja Virtual
318,186,2024-06-26,779.3,Loja Virtual
319,25,2024-06-28,1038.63,Loja Virtual
320,198,2025-03-30,1262.4,Loja Virtual
321,60,2024-09-07,290.33,Marketplace
322,55,2024-09-01,985.24,Loja Virtual
323,185,2024-07-23,1474.86,Marketplace
324,63,2025-01-25,436.79,WhatsApp
325,105,2024-06-30,579.92,Loja Virtual
326,13,2024-11-09,143.71,WhatsApp
327,56,2024-07-11,1308.75,WhatsApp
328,120,2025-01-13,374.17,Marketplace
329,152,2024-09-09,836.67,Marketplace
330,119,2024-06-21,721.79,Marketplace
331,120,2024-10-26,832.89,Marketplace
332,91,2025-01-25,196.66,Marketplace
333,73,2024-07-01,783.66,Marketplace
334,163,2024-08-23,611.01,Marketplace
335,118,2025-04-30,1495.18,Loja Virtual
336,86,2024-08-13,120.83,Marketplace
337,134,2024-06-15,1182.6,Loja Virtual
338,26,2025-04-07,704.18,Loja Virtual
339,194,2024-09-17,1124.48,WhatsApp
340,59,2025-03-27,1349.88,WhatsApp
341,130,2025-01-21,921.93,WhatsApp
342,70,2024-08-12,634.02,WhatsApp
343,6,2025-02-24,718.48,WhatsApp
344,169,2024-10-28,120.07,Marketplace
345,181,2024-09-18,1059.15,WhatsApp
346,7,2025-05-03,575.65,Marketplace
347,104,2025-04-15,1422.19,Loja Virtual
348,85,2024-09-17,579.35,Loja Virtual
349,3,2025-01-22,1164.49,WhatsApp
350,116,2025-05-07,1099.37,Loja Virtual
351,135,2024-11-01,1364.06,Loja Virtual
352,112,2024-08-30,129.06,Marketplace
353,54,2024-11-25,1193.52,Loja Virtual
354,27,2024-09-12,1331.26,Loja Virtual
355,58,2024-11-01,1451.96,Loja Virtual
356,39,2025-01-15,1378.02,Marketplace
357,102,2025-02-09,624.95,Loja Virtual
358,19,2025-04-14,768.64,WhatsApp
359,79,2024-10-17,686.31,Loja Virtual
360,84,2025-01-03,428.21,Marketplace
361,137,2025-04-04,405.83,WhatsApp
362,156,2025-03-03,384.49,Loja Virtual
363,158,2024-08-11,161.71,Marketplace
364,160,2024-09-24,1482.12,WhatsApp
365,64,2025-02-13,733.78,Loja Virtual
366,88,2025-04-11,506.97,Marketplace
367,17,2025-01-11,846.42,Loja Virtual
368,37,2025-05-12,740.61,WhatsApp
369,62,2024-07-24,529.32,WhatsApp
370,164,2025-03-15,602.01,Loja Virtual
371,125,2025-04-20,1176.22,Loja Virtual
372,48,2025-02-23,794.28,WhatsApp
373,27,2024-10-03,1357.01,WhatsApp
374,85,2025-03-14,957.08,WhatsApp
375,157,2025-01-21,513.53,WhatsApp
376,139,2024-11-24,163.74,WhatsApp
377,68,2024-10-19,237.39,WhatsApp
378,75,2024-12-11,1386.24,Loja Virtual
379,67,2024-05-25,1489.32,Marketplace
380,15,2024-08-08,909.36,Loja Virtual
381,146,2025-04-17,751.61,Marketplace
382,10,2024-06-08,853.11,WhatsApp
383,23,2024-12-23,823.65,Marketplace
384,8,2025-02-23,751.35,Loja Virtual
385,56,2024-10-15,399.32,Marketplace
386,165,2024-08-25,1064.13,Loja Virtual
387,139,2024-06-24,136.77,Marketplace
388,154,2024-07-24,1026.73,WhatsApp
389,115,2024-09-27,1067.38,WhatsApp
390,68,2024-08-20,272.51,WhatsApp
391,107,2025-04-30,911.47,WhatsApp
392,111,2025-01-12,137.52,WhatsApp
393,97,2024-11-23,1277.64,Marketplace
394,168,2024-10-04,905.5,WhatsApp
395,67,2024-07-08,127.88,Marketplace
396,116,2024-12-15,1092.63,Loja Virtual
397,23,2024-07-03,178.42,Loja Virtual
398,128,2025-04-14,790.58,WhatsApp
399,186,2024-11-06,1036.57,Loja Virtual
400,199,2024-06-11,501.85,Marketplace
401,54,2024-05-26,565.03,WhatsApp
402,151,2024-06-06,1387.42,WhatsApp
403,164,2024-12-27,874.39,Marketplace
404,142,2024-08-01,207.3,Loja Virtual
405,75,2025-01-30,601.58,Loja Virtual
406,103,2025-02-15,1061.25,Loja Virtual
407,16,2024-08-15,1498.02,Marketplace
408,145,2024-10-21,922.9,Loja Virtual
409,23,2025-01-04,1152.71,WhatsApp
410,3,2024-09-20,1107.01,Marketplace
411,49,2025-04-02,1019.82,Marketplace
412,152,2024-06-19,577.1,Marketplace
413,15,2025-02-18,166.13,Loja Virtual
414,16,2024-07-05,781.62,Loja Virtual
415,54,2024-11-04,1494.27,WhatsApp
416,172,2024-11-27,61.96,Marketplace
417,122,2025-02-06,1411.24,WhatsApp
418,25,2025-01-29,805.5,Marketplace
419,79,2024-05-28,1224.98,WhatsApp
420,137,2025-04-10,724.19,Marketplace
421,106,2025-05-12,1489.59,Marketplace
422,110,2024-06-05,1032.06,Loja Virtual
423,102,2024-07-01,1493.09,WhatsApp
424,164,2025-03-12,55.76,Loja Virtual
425,162,2024-07-09,1393.44,WhatsApp
426,38,2024-11-04,658.54,Loja Virtual
427,200,2025-02-25,1151.93,Loja Virtual
428,124,2025-01-24,731.51,Marketplace
429,200,2024-12-28,916.55,WhatsApp
430,188,2025-03-13,138.5,Loja Virtual
431,143,2025-01-05,615.33,Loja Virtual
432,176,2025-01-24,999.6,Marketplace
433,134,2025-04-12,1206.0,WhatsApp
434,138,2024-08-16,284.12,Marketplace
435,110,2024-10-28,1178.75,Loja Virtual
436,173,2024-06-17,482.99,Loja Virtual
437,61,2024-12-03,767.7,WhatsApp
438,68,2025-04-18,631.22,Loja Virtual
439,152,2024-11-09,179.5,Loja Virtual
440,42,2024-07-30,311.49,Marketplace
441,60,2024-12-12,158.89,WhatsApp
442,110,2024-09-21,412.82,WhatsApp
443,198,2024-12-25,1200.1,Loja Virtual
444,123,2025-05-08,1438.87,Loja Virtual
445,52,2024-07-07,621.61,WhatsApp
446,123,2024-08-18,1184.44,Marketplace
447,122,2024-12-05,470.2,Marketplace
448,60,2025-02-25,1286.56,WhatsApp
449,177,2024-12-10,452.53,WhatsApp
450,87,2024-06-02,408.03,WhatsApp
451,179,2024-05-30,350.24,Loja Virtual
452,16,2025-04-18,1476.16,Loja Virtual
453,67,2024-08-03,797.03,Loja Virtual
454,50,2025-04-08,272.24,WhatsApp
455,32,2024-07-27,863.28,WhatsApp
456,41,2025-05-08,921.01,Loja Virtual
457,115,2024-11-11,1007.88,WhatsApp
458,180,2024-08-20,786.99,Loja Virtual
459,7,2025-03-06,410.95,WhatsApp
460,74,2025-01-19,627.49,WhatsApp
461,188,2025-04-17,1441.92,WhatsApp
462,103,2025-01-25,240.9,Loja Virtual
463,193,2025-03-21,1267.47,WhatsApp
464,55,2024-07-07,114.56,Marketplace
465,44,2024-09-19,891.39,Marketplace
466,51,2024-07-15,883.14,Loja Virtual
467,46,2024-11-13,320.09,Marketplace
468,183,2024-10-25,297.47,WhatsApp
469,125,2024-11-04,1128.51,Loja Virtual
470,109,2024-06-04,510.0,WhatsApp
471,160,2025-03-09,1435.98,WhatsApp
472,28,2024-10-01,1411.65,WhatsApp
473,104,2025-03-12,1005.04,Loja Virtual
474,94,2024-11-04,149.89,WhatsApp
475,113,2025-03-01,754.16,WhatsApp
476,122,2025-01-03,373.2,Loja Virtual
477,81,2025-01-14,164.39,Marketplace
478,187,2024-07-11,773.69,WhatsApp
479,171,2025-03-19,82.46,Marketplace
480,89,2024-10-12,1292.5,Loja Virtual
481,199,2024-09-12,893.41,WhatsApp
482,158,2024-10-10,1207.7,WhatsApp
483,15,2025-03-28,117.14,Marketplace
484,40,2024-12-03,690.99,Marketplace
485,116,2025-04-14,1130.63,Marketplace
486,74,2025-05-01,988.75,WhatsApp
487,75,2024-06-25,755.35,WhatsApp
488,102,2025-04-19,218.31,Marketplace
489,113,2024-10-06,732.26,Marketplace
490,58,2024-06-25,102.58,WhatsApp
491,74,2025-02-16,998.41,Loja Virtual
492,57,2024-07-12,652.01,Marketplace
493,37,2024-07-19,1286.36,Loja Virtual
494,6,2024-10-09,1377.27,WhatsApp
495,184,2024-11-16,1319.68,Loja Virtual
496,40,2024-10-11,814.24,Marketplace
497,155,2024-11-18,763.11,Loja Virtual
498,118,2024-05-20,1467.71,WhatsApp
499,7,2025-04-24,1242.89,Marketplace
500,42,2024-12-04,1257.26,Marketplace
501,55,2024-09-13,421.08,Loja Virtual
502,22,2024-12-23,859.53,Loja Virtual
503,83,2025-01-24,1184.06,WhatsApp
504,5,2024-08-14,724.27,Loja Virtual
505,61,2025-04-15,588.02,Loja Virtual
506,27,2024-10-11,793.66,Marketplace
507,149,2025-02-04,400.71,WhatsApp
508,151,2024-06-16,1466.41,Loja Virtual
509,17,2025-05-06,312.98,Marketplace
510,43,2025-01-20,193.37,WhatsApp
511,182,2024-11-06,1106.94,Marketplace
512,107,2025-02-16,1418.42,WhatsApp
513,76,2025-01-06,840.96,WhatsApp
514,167,2024-06-24,1008.55,Marketplace
515,8,2024-07-30,303.4,WhatsApp
516,28,2024-12-06,1109.7,Loja Virtual
517,194,2024-05-30,50.63,Marketplace
518,44,2025-04-09,284.32,WhatsApp
519,76,2024-11-02,1298.01,Marketplace
520,43,2024-06-06,81.84,Marketplace
521,107,2024-06-02,183.74,Marketplace
522,186,2025-02-07,486.73,WhatsApp
523,79,2024-08-22,217.63,WhatsApp
524,196,2024-08-02,269.56,WhatsApp
525,62,2025-03-13,1219.69,Loja Virtual
526,69,2025-01-14,1499.04,WhatsApp
527,95,2025-04-15,572.99,Loja Virtual
528,32,2025-05-08,1420.05,WhatsApp
529,118,2024-11-12,247.84,Loja Virtual
530,62,2024-08-16,1066.48,WhatsApp
531,83,2024-08-24,964.26,WhatsApp
532,8,2024-10-24,1374.85,WhatsApp
533,19,2025-03-08,679.07,Loja Virtual
534,188,2024-12-06,919.53,Marketplace
535,160,2024-12-21,264.32,Marketplace
536,69,2024-11-13,1246.42,Loja Virtual
537,14,2025-03-28,1165.89,WhatsApp
538,137,2025-04-26,1327.61,Marketplace
539,77,2025-01-28,1245.81,Loja Virtual
540,35,2024-08-08,244.8,Marketplace
541,138,2024-12-20,746.79,Loja Virtual
542,39,2025-05-08,97.86,Marketplace
543,155,2024-06-15,1419.66,WhatsApp
544,42,2025-03-28,992.28,Marketplace
545,60,2024-06-18,253.17,Marketplace
546,123,2025-02-12,403.13,Marketplace
547,34,2025-01-09,58.01,WhatsApp
548,18,2024-11-23,787.14,Marketplace
549,172,2024-06-22,1114.93,WhatsApp
550,52,2024-09-18,529.67,WhatsApp
551,192,2024-11-08,1031.62,Loja Virtual
552,172,2024-09-30,1203.47,WhatsApp
553,10,2024-05-24,559.97,Marketplace
554,33,2025-05-08,417.49,WhatsApp
555,180,2024-09-18,543.67,Loja Virtual
556,14,2024-09-14,1237.58,WhatsApp
557,178,2024-09-26,92.01,WhatsApp
558,56,2025-04-30,1495.33,WhatsApp
559,77,2024-12-08,332.22,WhatsApp
560,25,2024-08-19,568.83,WhatsApp
561,43,2024-05-21,829.88,WhatsApp
562,182,2024-05-31,1181.72,Marketplace
563,65,2024-07-25,921.39,Loja Virtual
564,163,2025-01-07,867.45,WhatsApp
565,53,2025-03-06,848.05,WhatsApp
566,106,2024-09-30,400.08,WhatsApp
567,176,2024-10-26,1300.01,Loja Virtual
568,184,2024-11-30,901.39,WhatsApp
569,171,2024-07-13,786.38,Loja Virtual
570,92,2024-10-12,1064.8,WhatsApp
571,124,2024-05-20,84.97,Loja Virtual
572,175,2025-04-20,319.78,Loja Virtual
573,93,2024-08-08,1373.19,Loja Virtual
574,26,2024-10-09,1181.17,WhatsApp
575,49,2024-08-19,888.23,WhatsApp
576,3,2025-05-07,264.0,WhatsApp
577,182,2024-09-06,1131.98,WhatsApp
578,44,2025-04-13,273.6,WhatsApp
579,3,2024-10-25,487.15,WhatsApp
580,57,2024-07-23,249.34,Loja Virtual
581,6,2024-11-21,63.21,Loja Virtual
582,144,2024-12-27,331.62,Marketplace
583,168,2024-12-21,430.6,Marketplace
584,133,2024-08-31,530.41,Loja Virtual
585,152,2025-01-25,118.92,WhatsApp
586,146,2024-07-05,1195.38,WhatsApp
587,93,2025-04-06,457.32,WhatsApp
588,174,2025-01-29,230.48,Loja Virtual
589,63,2024-07-28,870.93,WhatsApp
590,157,2024-11-19,148.2,Marketplace
591,59,2024-11-04,562.85,Loja Virtual
592,166,2025-03-05,532.47,Loja Virtual
593,79,2024-12-24,138.99,WhatsApp
594,62,2024-11-13,963.47,WhatsApp
595,170,2025-03-30,1436.27,WhatsApp
596,161,2025-03-05,1033.51,WhatsApp
597,93,2024-09-26,880.89,Loja Virtual
598,92,2024-10-31,1028.02,Marketplace
599,29,2024-07-04,1316.6,Loja Virtual
600,167,2024-06-23,698.56,WhatsApp
601,179,2024-06-23,1104.28,Loja Virtual
602,18,2024-12-12,924.9,Marketplace
603,85,2024-10-31,106.37,Marketplace
604,193,2024-11-28,724.61,Loja Virtual
605,37,2025-05-12,176.34,Loja Virtual
606,139,2024-07-27,352.83,Marketplace
607,135,2024-08-02,192.64,WhatsApp
608,133,2025-01-30,502.74,WhatsApp
609,125,2024-07-23,1360.63,Marketplace
610,142,2025-01-25,1395.61,Marketplace
611,73,2024-09-16,1472.03,WhatsApp
612,2,2024-11-15,1374.2,Loja Virtual
613,158,2025-01-01,674.36,Marketplace
614,9,2024-12-20,847.77,Marketplace
615,29,2024-07-22,108.13,Loja Virtual
616,131,2024-06-27,1426.04,WhatsApp
617,117,2025-05-01,866.86,Marketplace
618,162,2025-03-10,907.02,WhatsApp
619,9,2024-07-14,443.46,Marketplace
620,173,2024-12-06,838.55,Loja Virtual
621,120,2025-04-04,1109.47,WhatsApp
622,185,2025-02-26,1141.54,Marketplace
623,79,2025-04-05,921.56,Loja Virtual
