id_pedido,transportadora,status,data_entrega,prazo_estimado,motivo_ocorrencia
179,Total Express,Entregue,2024-08-31,2024-08-30,
180,Jadlog,Entregue,2025-01-31,2025-01-29,
181,Correios,Entregue,2024-12-05,2024-12-01,
182,Correios,Entregue,2024-12-25,2024-12-22,
183,Loggi,Atrasado,,2025-01-19,Atraso na malha
184,Correios,Entregue,2024-05-19,2024-05-19,
185,Jadlog,Entregue,2025-04-03,2025-03-31,
186,Correios,Entregue,2024-06-12,2024-06-10,
187,Jadlog,Entregue,2025-04-07,2025-04-07,
188,Loggi,Entregue,2025-03-27,2025-03-26,
189,Total Express,Entregue,2024-11-04,2024-11-06,
190,Jadlog,Entregue,2025-02-27,2025-02-28,
191,Jadlog,Entregue,2025-05-07,2025-05-09,
192,Jadlog,Entregue,2024-07-22,2024-07-18,
193,Correios,Entregue,2024-11-25,2024-11-25,
194,Total Express,Entregue,2025-04-15,2025-04-12,
195,Loggi,Devolvido,,2025-01-01,Cliente recusou
196,Correios,Entregue,2024-09-16,2024-09-15,
197,Total Express,Entregue,2025-02-10,2025-02-12,
198,Total Express,Entregue,2025-05-07,2025-05-03,
199,Loggi,Extraviado,,2025-02-20,Extravio confirmado
200,Jadlog,Entregue,2024-11-27,2024-11-25,
201,Jadlog,Entregue,2025-05-04,2025-05-02,
202,Total Express,Atrasado,,2024-11-19,Atraso na malha
203,Jadlog,Entregue,2024-12-06,2024-12-03,
204,Jadlog,Entregue,2024-11-17,2024-11-19,
205,Total Express,Entregue,2024-06-13,2024-06-09,
206,Correios,Entregue,2024-09-17,2024-09-16,
207,Loggi,Devolvido,,2024-07-16,Cliente recusou
208,Correios,Atrasado,,2025-04-04,Atraso na malha
209,Correios,Atrasado,,2024-10-10,Atraso na malha
210,Loggi,Extraviado,,2025-04-17,Extravio confirmado
211,Correios,Entregue,2025-02-26,2025-02-26,
212,Total Express,Atrasado,,2024-12-19,Atraso na malha
213,Total Express,Atrasado,,2025-04-17,Atraso na malha
214,Correios,Entregue,2025-03-07,2025-03-06,
215,Jadlog,Entregue,2024-10-27,2024-10-29,
216,Jadlog,Entregue,2024-06-26,2024-06-24,
217,Jadlog,Entregue,2025-02-28,2025-02-28,
218,Total Express,Entregue,2024-07-22,2024-07-21,
219,Correios,Entregue,2024-10-09,2024-10-05,
220,Jadlog,Entregue,2024-11-04,2024-11-04,
221,Correios,Entregue,2024-11-21,2024-11-22,
222,Jadlog,Entregue,2024-07-23,2024-07-24,
223,Total Express,Entregue,2025-03-31,2025-04-01,
224,Loggi,Entregue,2024-09-25,2024-09-23,
225,Loggi,Atrasado,,2025-05-10,Atraso na malha
226,Loggi,Entregue,2024-06-09,2024-06-11,
227,Total Express,Entregue,2024-08-21,2024-08-19,
228,Loggi,Entregue,2024-09-27,2024-09-22,
229,Jadlog,Entregue,2024-10-07,2024-10-04,
230,Correios,Entregue,2025-03-22,2025-03-22,
231,Total Express,Atrasado,,2024-10-08,Atraso na malha
232,Jadlog,Entregue,2024-07-24,2024-07-22,
233,Correios,Entregue,2025-04-26,2025-04-28,
234,Loggi,Entregue,2024-06-29,2024-06-25,
235,Jadlog,Entregue,2025-01-14,2025-01-13,
236,Loggi,Entregue,2025-04-03,2025-03-31,
237,Loggi,Entregue,2024-05-21,2024-05-21,
238,Total Express,Entregue,2024-11-07,2024-11-04,
239,Correios,Entregue,2024-11-12,2024-11-08,
240,Total Express,Entregue,2025-03-02,2025-03-01,
241,Total Express,Entregue,2024-09-13,2024-09-09,
242,Jadlog,Entregue,2024-08-21,2024-08-19,
243,Loggi,Entregue,2024-06-28,2024-06-24,
244,Loggi,Entregue,2024-09-03,2024-09-04,
245,Correios,Entregue,2024-09-05,2024-09-06,
246,Jadlog,Entregue,2025-04-01,2025-04-03,
247,Total Express,Entregue,2024-09-10,2024-09-09,
248,Total Express,Entregue,2024-10-19,2024-10-18,
249,Total Express,Entregue,2025-04-08,2025-04-07,
250,Correios,Entregue,2024-06-24,2024-06-22,
251,Correios,Entregue,2025-01-19,2025-01-19,
252,Jadlog,Devolvido,,2024-08-05,Cliente recusou
253,Total Express,Entregue,2025-04-12,2025-04-07,
254,Jadlog,Extraviado,,2024-09-14,Extravio confirmado
255,Total Express,Devolvido,,2024-09-01,Cliente recusou
256,Jadlog,Entregue,2025-01-31,2025-01-27,
257,Total Express,Devolvido,,2025-03-12,Cliente recusou
258,Correios,Entregue,2024-07-18,2024-07-14,
259,Jadlog,Entregue,2025-01-04,2025-01-03,
260,Jadlog,Atrasado,,2025-01-07,Atraso na malha
261,Total Express,Extraviado,,2024-09-10,Extravio confirmado
262,Total Express,Atrasado,,2025-02-08,Atraso na malha
263,Loggi,Entregue,2024-07-26,2024-07-28,
264,Correios,Entregue,2025-01-29,2025-01-25,
265,Correios,Atrasado,,2024-09-20,Atraso na malha
266,Jadlog,Atrasado,,2024-10-14,Atraso na malha
267,Jadlog,Entregue,2024-12-06,2024-12-02,
268,Jadlog,Atrasado,,2024-06-12,Atraso na malha
269,Correios,Atrasado,,2024-11-21,Atraso na malha
270,Jadlog,Entregue,2024-08-01,2024-08-03,
271,Total Express,Entregue,2025-04-15,2025-04-12,
272,Jadlog,Atrasado,,2024-08-09,Atraso na malha
273,Correios,Entregue,2025-01-29,2025-01-28,
274,Total Express,Entregue,2025-03-06,2025-03-05,
275,Total Express,Entregue,2024-07-08,2024-07-04,
276,Total Express,Entregue,2025-03-15,2025-03-11,
277,Correios,Entregue,2025-02-01,2025-01-28,
278,Jadlog,Entregue,2025-02-05,2025-02-03,
279,Jadlog,Entregue,2024-12-23,2024-12-18,
280,Loggi,Atrasado,,2024-07-23,Atraso na malha
281,Total Express,Entregue,2024-06-06,2024-06-05,
282,Loggi,Atrasado,,2024-08-25,Atraso na malha
283,Total Express,Entregue,2025-05-14,2025-05-12,
284,Loggi,Entregue,2024-09-10,2024-09-09,
285,Loggi,Entregue,2025-04-14,2025-04-09,
286,Correios,Entregue,2025-01-02,2025-01-03,
287,Total Express,Atrasado,,2025-03-23,Atraso na malha
288,Correios,Entregue,2025-02-15,2025-02-15,
289,Jadlog,Entregue,2024-11-04,2024-11-05,
290,Loggi,Entregue,2024-08-22,2024-08-21,
291,Loggi,Entregue,2024-08-24,2024-08-22,
292,Total Express,Entregue,2024-09-21,2024-09-19,
293,Loggi,Extraviado,,2024-11-23,Extravio confirmado
294,Correios,Entregue,2024-07-02,2024-07-02,
295,Total Express,Entregue,2025-01-20,2025-01-15,
296,Correios,Entregue,2024-07-21,2024-07-18,
297,Correios,Entregue,2025-01-02,2024-12-31,
298,Correios,Atrasado,,2025-04-29,Atraso na malha
299,Correios,Devolvido,,2024-07-28,Cliente recusou
300,Loggi,Atrasado,,2024-07-29,Atraso na malha
301,Jadlog,Devolvido,,2025-02-15,Cliente recusou
302,Total Express,Entregue,2024-11-14,2024-11-13,
303,Loggi,Entregue,2025-04-04,2025-03-31,
304,Correios,Entregue,2025-01-15,2025-01-11,
305,Loggi,Entregue,2024-06-12,2024-06-11,
306,Loggi,Entregue,2024-10-05,2024-09-30,
307,Correios,Devolvido,,2025-04-04,Cliente recusou
308,Total Express,Entregue,2024-11-30,2024-12-01,
309,Loggi,Entregue,2024-11-25,2024-11-22,
310,Correios,Entregue,2024-11-18,2024-11-14,
311,Loggi,Entregue,2024-10-17,2024-10-16,
312,Loggi,Atrasado,,2025-01-04,Atraso na malha
313,Jadlog,Entregue,2024-07-19,2024-07-21,
314,Loggi,Entregue,2024-12-13,2024-12-11,
315,Jadlog,Entregue,2025-05-09,2025-05-04,
316,Total Express,Entregue,2024-06-13,2024-06-14,
317,Loggi,Entregue,2024-11-04,2024-11-02,
318,Total Express,Entregue,2024-07-06,2024-07-01,
319,Loggi,Entregue,2024-07-06,2024-07-07,
320,Total Express,Extraviado,,2025-04-05,Extravio confirmado
321,Jadlog,Entregue,2024-09-13,2024-09-11,
322,Jadlog,Atrasado,,2024-09-04,Atraso na malha
323,Jadlog,Entregue,2024-08-06,2024-08-01,
324,Total Express,Entregue,2025-01-26,2025-01-28,
325,Correios,Entregue,2024-07-01,2024-07-03,
326,Total Express,Devolvido,,2024-11-14,Cliente recusou
327,Correios,Entregue,2024-07-14,2024-07-16,
328,Total Express,Entregue,2025-01-14,2025-01-15,
329,Jadlog,Entregue,2024-09-19,2024-09-18,
330,Jadlog,Entregue,2024-07-02,2024-06-28,
331,Jadlog,Entregue,2024-11-02,2024-11-04,
332,Total Express,Entregue,2025-02-07,2025-02-02,
333,Loggi,Extraviado,,2024-07-10,Extravio confirmado
334,Loggi,Devolvido,,2024-09-01,Cliente recusou
335,Correios,Entregue,2025-05-10,2025-05-09,
336,Loggi,Entregue,2024-08-18,2024-08-19,
337,Jadlog,Entregue,2024-06-26,2024-06-24,
338,Correios,Devolvido,,2025-04-12,Cliente recusou
339,Jadlog,Entregue,2024-09-27,2024-09-22,
340,Jadlog,Entregue,2025-04-08,2025-04-05,
341,Jadlog,Atrasado,,2025-01-25,Atraso na malha
342,Correios,Entregue,2024-08-23,2024-08-18,
343,Jadlog,Atrasado,,2025-02-28,Atraso na malha
344,Correios,Entregue,2024-11-04,2024-10-30,
345,Loggi,Entregue,2024-09-21,2024-09-20,
346,Total Express,Entregue,2025-05-10,2025-05-09,
347,Correios,Entregue,2025-04-20,2025-04-17,
348,Loggi,Entregue,2024-09-27,2024-09-25,
349,Correios,Entregue,2025-02-02,2025-01-28,
350,Total Express,Entregue,2025-05-09,2025-05-09,
351,Loggi,Entregue,2024-11-11,2024-11-07,
352,Loggi,Entregue,2024-09-04,2024-09-06,
353,Correios,Entregue,2024-12-06,2024-12-04,
354,Correios,Atrasado,,2024-09-17,Atraso na malha
355,Jadlog,Entregue,2024-11-09,2024-11-06,
356,Total Express,Atrasado,,2025-01-17,Atraso na malha
357,Correios,Entregue,2025-02-12,2025-02-12,
358,Loggi,Entregue,2025-04-21,2025-04-20,
359,Jadlog,Entregue,2024-10-26,2024-10-25,
360,Total Express,Entregue,2025-01-05,2025-01-07,
361,Correios,Entregue,2025-04-11,2025-04-06,
362,Jadlog,Atrasado,,2025-03-11,Atraso na malha
363,Correios,Entregue,2024-08-21,2024-08-17,
364,Loggi,Entregue,2024-10-01,2024-10-02,
365,Jadlog,Entregue,2025-02-24,2025-02-20,
366,Correios,Entregue,2025-04-20,2025-04-17,
367,Loggi,Entregue,2025-01-13,2025-01-15,
368,Loggi,Entregue,2025-05-19,2025-05-16,
369,Total Express,Atrasado,,2024-07-26,Atraso na malha
370,Loggi,Entregue,2025-03-23,2025-03-20,
371,Loggi,Entregue,2025-04-26,2025-04-23,
372,Loggi,Entregue,2025-03-05,2025-03-01,
373,Correios,Entregue,2024-10-13,2024-10-10,
374,Jadlog,Entregue,2025-03-24,2025-03-22,
375,Jadlog,Entregue,2025-01-31,2025-01-31,
376,Correios,Entregue,2024-11-27,2024-11-26,
377,Loggi,Entregue,2024-11-01,2024-10-28,
378,Jadlog,Entregue,2024-12-12,2024-12-13,
379,Loggi,Atrasado,,2024-06-01,Atraso na malha
380,Jadlog,Entregue,2024-08-09,2024-08-11,
381,Jadlog,Entregue,2025-04-26,2025-04-21,
382,Correios,Entregue,2024-06-22,2024-06-18,
383,Jadlog,Entregue,2024-12-31,2025-01-01,
384,Correios,Entregue,2025-03-05,2025-03-02,
385,Loggi,Entregue,2024-10-27,2024-10-25,
386,Loggi,Atrasado,,2024-08-30,Atraso na malha
387,Total Express,Entregue,2024-07-03,2024-07-04,
388,Correios,Entregue,2024-08-03,2024-07-29,
389,Jadlog,Entregue,2024-10-03,2024-10-04,
390,Total Express,Entregue,2024-08-27,2024-08-26,
391,Correios,Atrasado,,2025-05-03,Atraso na malha
392,Total Express,Atrasado,,2025-01-15,Atraso na malha
393,Jadlog,Entregue,2024-11-27,2024-11-26,
394,Loggi,Entregue,2024-10-10,2024-10-12,
395,Loggi,Atrasado,,2024-07-12,Atraso na malha
396,Correios,Entregue,2024-12-19,2024-12-21,
397,Loggi,Entregue,2024-07-09,2024-07-08,
398,Correios,Entregue,2025-04-24,2025-04-22,
399,Loggi,Entregue,2024-11-18,2024-11-13,
400,Correios,Entregue,2024-06-20,2024-06-16,
401,Loggi,Entregue,2024-06-04,2024-06-01,
402,Jadlog,Devolvido,,2024-06-12,Cliente recusou
403,Total Express,Devolvido,,2025-01-01,Cliente recusou
404,Correios,Extraviado,,2024-08-08,Extravio confirmado
405,Loggi,Devolvido,,2025-02-01,Cliente recusou
406,Correios,Entregue,2025-02-28,2025-02-23,
407,Correios,Entregue,2024-08-19,2024-08-19,
408,Loggi,Entregue,2024-10-26,2024-10-27,
409,Correios,Devolvido,,2025-01-13,Cliente recusou
410,Jadlog,Entregue,2024-09-30,2024-09-30,
411,Loggi,Entregue,2025-04-10,2025-04-08,
412,Jadlog,Atrasado,,2024-06-29,Atraso na malha
413,Loggi,Entregue,2025-02-25,2025-02-25,
414,Total Express,Entregue,2024-07-11,2024-07-10,
415,Jadlog,Extraviado,,2024-11-11,Extravio confirmado
416,Correios,Devolvido,,2024-12-03,Cliente recusou
417,Jadlog,Entregue,2025-02-14,2025-02-10,
418,Correios,Atrasado,,2025-02-02,Atraso na malha
419,Loggi,Entregue,2024-05-31,2024-05-31,
420,Total Express,Extraviado,,2025-04-20,Extravio confirmado
421,Loggi,Atrasado,,2025-05-16,Atraso na malha
422,Jadlog,Entregue,2024-06-15,2024-06-15,
423,Total Express,Entregue,2024-07-09,2024-07-10,
424,Jadlog,Devolvido,,2025-03-22,Cliente recusou
425,Jadlog,Entregue,2024-07-14,2024-07-13,
426,Jadlog,Entregue,2024-11-12,2024-11-13,
427,Loggi,Entregue,2025-03-04,2025-03-05,
428,Loggi,Entregue,2025-01-27,2025-01-28,
429,Correios,Entregue,2025-01-10,2025-01-05,
430,Loggi,Atrasado,,2025-03-16,Atraso na malha
431,Correios,Atrasado,,2025-01-11,Atraso na malha
432,Loggi,Atrasado,,2025-02-01,Atraso na malha
433,Total Express,Entregue,2025-04-26,2025-04-22,
434,Total Express,Entregue,2024-08-24,2024-08-25,
435,Jadlog,Entregue,2024-11-06,2024-11-06,
436,Correios,Atrasado,,2024-06-23,Atraso na malha
437,Total Express,Entregue,2024-12-10,2024-12-07,
438,Correios,Entregue,2025-04-22,2025-04-24,
439,Total Express,Entregue,2024-11-09,2024-11-11,
440,Loggi,Entregue,2024-08-01,2024-08-02,
441,Total Express,Entregue,2024-12-15,2024-12-15,
442,Jadlog,Entregue,2024-09-30,2024-09-29,
443,Jadlog,Atrasado,,2025-01-02,Atraso na malha
444,Jadlog,Entregue,2025-05-14,2025-05-14,
445,Jadlog,Entregue,2024-07-13,2024-07-12,
446,Loggi,Extraviado,,2024-08-20,Extravio confirmado
447,Total Express,Entregue,2024-12-12,2024-12-08,
448,Correios,Devolvido,,2025-03-01,Cliente recusou
449,Loggi,Entregue,2024-12-17,2024-12-17,
450,Correios,Extraviado,,2024-06-10,Extravio confirmado
451,Correios,Entregue,2024-06-06,2024-06-07,
452,Jadlog,Entregue,2025-04-27,2025-04-28,
453,Jadlog,Entregue,2024-08-03,2024-08-05,
454,Jadlog,Entregue,2025-04-22,2025-04-18,
455,Correios,Atrasado,,2024-07-29,Atraso na malha
456,Loggi,Entregue,2025-05-13,2025-05-13,
457,Correios,Entregue,2024-11-18,2024-11-18,
458,Jadlog,Entregue,2024-08-30,2024-08-28,
459,Correios,Devolvido,,2025-03-08,Cliente recusou
460,Loggi,Entregue,2025-01-25,2025-01-23,
461,Loggi,Entregue,2025-04-26,2025-04-25,
462,Correios,Atrasado,,2025-02-03,Atraso na malha
463,Correios,Atrasado,,2025-03-30,Atraso na malha
464,Jadlog,Entregue,2024-07-15,2024-07-10,
465,Loggi,Entregue,2024-09-28,2024-09-24,
466,Loggi,Entregue,2024-07-21,2024-07-23,
467,Correios,Entregue,2024-11-22,2024-11-20,
468,Correios,Entregue,2024-10-26,2024-10-27,
469,Correios,Entregue,2024-11-13,2024-11-08,
470,Loggi,Entregue,2024-06-06,2024-06-08,
471,Correios,Entregue,2025-03-17,2025-03-13,
472,Loggi,Entregue,2024-10-04,2024-10-05,
473,Jadlog,Entregue,2025-03-20,2025-03-20,
474,Correios,Entregue,2024-11-10,2024-11-11,
475,Total Express,Entregue,2025-03-04,2025-03-05,
476,Jadlog,Atrasado,,2025-01-07,Atraso na malha
477,Total Express,Devolvido,,2025-01-16,Cliente recusou
478,Total Express,Atrasado,,2024-07-17,Atraso na malha
479,Jadlog,Devolvido,,2025-03-26,Cliente recusou
480,Loggi,Entregue,2024-10-15,2024-10-17,
481,Total Express,Entregue,2024-09-16,2024-09-14,
482,Loggi,Entregue,2024-10-20,2024-10-19,
483,Total Express,Entregue,2025-03-31,2025-04-02,
484,Jadlog,Entregue,2024-12-12,2024-12-11,
485,Correios,Entregue,2025-04-17,2025-04-17,
486,Total Express,Entregue,2025-05-09,2025-05-09,
487,Correios,Entregue,2024-07-03,2024-06-30,
488,Total Express,Entregue,2025-04-28,2025-04-28,
489,Total Express,Entregue,2024-10-11,2024-10-12,
490,Jadlog,Entregue,2024-07-03,2024-06-28,
491,Jadlog,Entregue,2025-02-24,2025-02-20,
492,Correios,Entregue,2024-07-18,2024-07-19,
493,Total Express,Extraviado,,2024-07-28,Extravio confirmado
494,Correios,Extraviado,,2024-10-18,Extravio confirmado
495,Loggi,Entregue,2024-11-22,2024-11-19,
496,Loggi,Entregue,2024-10-25,2024-10-21,
497,Correios,Entregue,2024-11-21,2024-11-22,
498,Loggi,Entregue,2024-05-27,2024-05-29,
499,Total Express,Entregue,2025-05-05,2025-05-01,
500,Correios,Entregue,2024-12-12,2024-12-12,
501,Loggi,Entregue,2024-09-17,2024-09-16,
502,Loggi,Entregue,2025-01-06,2025-01-01,
503,Loggi,Atrasado,,2025-01-29,Atraso na malha
504,Loggi,Entregue,2024-08-14,2024-08-16,
505,Correios,Entregue,2025-04-20,2025-04-21,
